"Name","TID","InfoTID","SWF","ExportName","ExportNameConstruction","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay","NationalFlag","RequiredTownHallLevel","UseObjectBottomLayer","IsFadedAndPassableInCombat"
"String","String","String","String","String","String","String","int","int","int","int","int","int","String","int","String","boolean","boolean","boolean","int","int","int","int","int","int","int","boolean","boolean","String","int","boolean","int","boolean","boolean"
"Barbarian Statue","TID_DECORATION_BARBARIAN_STATUE",,"sc/buildings.sc","deco_barbarian_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Torch","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,1,4,2,2,1,,,"deco_torch1_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"Goblin Pole","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_goblin_pole",,"Elixir",1000,3,0,2,2,1,,,"deco_goblinpole_base",,,,,,,,,,,,,,,,,,"TRUE"
"White Flag","TID_DECORATION_WHITE_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Elixir",5000,5,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,,,,,"TRUE"
"Skull Flag","TID_DECORATION_SKULL_FLAG",,"sc/buildings.sc","deco_skull_flag","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,,,,,"TRUE"
"Flower box 1","TID_DECORATION_FLOWERBOX1",,"sc/buildings.sc","deco_flowerbox1","generic_construction_state1","Elixir",2500,8,4,2,2,1,,,"deco_flowerbox1_base",,,,,,,,,,,,,,,,,,"TRUE"
"Flower box 2","TID_DECORATION_FLOWERBOX2",,"sc/buildings.sc","deco_flowerbox2","generic_construction_state1","Elixir",2500,8,4,2,2,1,,,"deco_flowerbox2_base",,,,,,,,,,,,,,,,,,"TRUE"
"Windmeter","TID_DECORATION_WINDMETER",,"sc/buildings.sc","deco_windmeter","generic_construction_state1","Elixir",10000,10,1,2,2,1,,,"deco_windmeter_base",,,,,,,,,,,,,,,,,,"TRUE"
"Down Arrow Flag","TID_DECORATION_DOWNARROW_FLAG",,"sc/buildings.sc","deco_downarrow_flag","generic_construction_state1","Elixir",15000,12,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,,,,,"TRUE"
