"Name","Reputation","MaxEstateLevel","RewardCurrency"
"String","int","int","int"
"1",5000,1,
"2",10000,,
"3",15000,2,
"4",20000,,
"5",25000,3,
"6",30000,,
"7",35000,4,
"8",40000,,
"9",45000,5,
"10",50000,,
"11",55000,,
"12",60000,,
"13",65000,,
"14",70000,,
"15",75000,,
"16",80000,,
"17",85000,,
"18",90000,,
"19",95000,,
"20",100000,,
"21",110000,,
"22",120000,,
"23",130000,,
"24",140000,,
"25",150000,,
"26",160000,,
"27",170000,,
"28",180000,,
"29",190000,,
"30",200000,,
"31",210000,,
"32",220000,,
"33",230000,,
"34",240000,,
"35",250000,,
"36",260000,,
"37",270000,,
"38",280000,,
"39",290000,,
"40",300000,,
"41",320000,,
"42",340000,,
"43",360000,,
"44",380000,,
"45",400000,,
"46",420000,,
"47",440000,,
"48",460000,,
"49",480000,,
"50",500000,,
"51",520000,,
"52",540000,,
"53",560000,,
"54",580000,,
"55",600000,,
"56",630000,,
"57",660000,,
"58",690000,,
"59",720000,,
"60",750000,,
"61",780000,,
"62",810000,,
"63",840000,,
"64",870000,,
"65",900000,,
"66",940000,,
"67",980000,,
"68",1020000,,
"69",1060000,,
"70",1100000,,
"71",1150000,,
"72",1200000,,
"73",1250000,,
"74",1300000,,
"75",1350000,,
"76",1400000,,
"77",1450000,,
"78",1500000,,
"79",1560000,,
"80",1620000,,
"81",1680000,,
"82",1740000,,
"83",1800000,,
"84",1870000,,
"85",1940000,,
"86",2010000,,
"87",2080000,,
"88",2150000,,
"89",2230000,,
"90",2310000,,
"91",2390000,,
"92",2470000,,
"93",2550000,,
"94",2640000,,
"95",2730000,,
"96",2820000,,
"97",2910000,,
"98",3000000,,
"99",3100000,,
"100",3200000,,
"101",3300000,,
"102",3400000,,
"103",3500000,,
"104",3600000,,
"105",3700000,,
"106",3800000,,
"107",3900000,,
"108",4000000,,
"109",4100000,,
"110",4200000,,
"111",4300000,,
"112",4400000,,
"113",4500000,,
"114",4600000,,
"115",4700000,,
"116",4800000,,
"117",4900000,,
"118",5000000,,
"119",5100000,,
"120",5200000,,
"121",5300000,,
"122",5400000,,
"123",5500000,,
"124",5600000,,
"125",5700000,,
"126",5800000,,
"127",5900000,,
"128",6000000,,
"129",6100000,,
"130",6200000,,
"131",6300000,,
"132",6400000,,
"133",6500000,,
"134",6600000,,
"135",6700000,,
"136",6800000,,
"137",6900000,,
"138",7000000,,
"139",7100000,,
"140",7200000,,
"141",7300000,,
"142",7400000,,
"143",7500000,,
"144",7600000,,
"145",7700000,,
"146",7800000,,
"147",7900000,,
"148",8000000,,
"149",8100000,,
"150",8200000,,
"151",8300000,,
"152",8400000,,
"153",8500000,,
"154",8600000,,
"155",8700000,,
"156",8800000,,
"157",8900000,,
"158",9000000,,
"159",9100000,,
"160",9200000,,
"161",9300000,,
"162",9400000,,
"163",9500000,,
"164",9600000,,
"165",9700000,,
"166",9800000,,
"167",9900000,,
"168",10000000,,
"169",10100000,,
"170",10200000,,
"171",10300000,,
"172",10400000,,
"173",10500000,,
"174",10600000,,
"175",10700000,,
"176",10800000,,
"177",10900000,,
"178",11000000,,
"179",11100000,,
"180",11200000,,
"181",11300000,,
"182",11400000,,
"183",11500000,,
"184",11600000,,
"185",11700000,,
"186",11800000,,
"187",11900000,,
"188",12000000,,
"189",12100000,,
"190",12200000,,
"191",12300000,,
"192",12400000,,
"193",12500000,,
"194",12600000,,
"195",12700000,,
"196",12800000,,
"197",12900000,,
"198",13000000,,
"199",13100000,,
"200",13200000,,
"201",13300000,,
"202",13400000,,
"203",13500000,,
"204",13600000,,
"205",13700000,,
"206",13800000,,
"207",13900000,,
"208",14000000,,
"209",14100000,,
"210",14200000,,
"211",14300000,,
"212",14400000,,
"213",14500000,,
"214",14600000,,
"215",14700000,,
"216",14800000,,
"217",14900000,,
"218",15000000,,
"219",15100000,,
"220",15200000,,
"221",15300000,,
"222",15400000,,
"223",15500000,,
"224",15600000,,
"225",15700000,,
"226",15800000,,
"227",15900000,,
"228",16000000,,
"229",16100000,,
"230",16200000,,
"231",16300000,,
"232",16400000,,
"233",16500000,,
"234",16600000,,
"235",16700000,,
"236",16800000,,
"237",16900000,,
"238",17000000,,
"239",17100000,,
"240",17200000,,
"241",17300000,,
"242",17400000,,
"243",17500000,,
"244",17600000,,
"245",17700000,,
"246",17800000,,
"247",17900000,,
"248",18000000,,
"249",18100000,,
"250",18200000,,
"251",18300000,,
"252",18400000,,
"253",18500000,,
"254",18600000,,
"255",18700000,,
"256",18800000,,
"257",18900000,,
"258",19000000,,
"259",19100000,,
"260",19200000,,
"261",19300000,,
"262",19400000,,
"263",19500000,,
"264",19600000,,
"265",19700000,,
"266",19800000,,
"267",19900000,,
"268",20000000,,
"269",20100000,,
"270",20200000,,
"271",20300000,,
"272",20400000,,
"273",20500000,,
"274",20600000,,
"275",20700000,,
"276",20800000,,
"277",20900000,,
"278",21000000,,
"279",21100000,,
"280",21200000,,
"281",21300000,,
"282",21400000,,
"283",21500000,,
